Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,26,OKC,17,17,26.4,4.5,7.4,0.611,0,0,,4.5,7.4,0.611,0.611,1.4,2.6,0.511,2.8,6.2,9,2.8,0.5,1,1.4,1.9,10.4
2,Bam Adebayo\adebaba01,C,22,MIA,21,21,32.6,5.1,9,0.563,0,0.3,0.167,5,8.8,0.576,0.566,3.6,5.5,0.655,2.4,7.9,10.3,4,1.4,1.2,2.8,2.5,13.9
3,LaMarcus Aldridge\aldrila01,C,34,SAS,20,20,32.8,7.7,14.8,0.517,0.6,1.6,0.355,7.1,13.3,0.536,0.535,3,3.6,0.833,2.1,4.7,6.7,2.5,0.7,1.8,1.7,2.2,18.9
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,17,0,14.2,2.3,7.1,0.322,1.3,3.8,0.338,1,3.3,0.304,0.413,0.6,0.8,0.714,0.2,2.1,2.3,2.1,0.3,0.1,1.2,1.5,6.5
5,Grayson Allen\allengr01,SG,24,MEM,11,0,19,2.4,6.8,0.347,1,3.3,0.306,1.4,3.5,0.385,0.42,1.4,1.5,0.882,0.2,2.9,3.1,1.6,0.4,0,1.1,1.7,7.1
6,Jarrett Allen\allenja01,C,21,BRK,21,18,26.6,4.7,7,0.671,0,0,0,4.7,6.9,0.676,0.671,2.6,4.4,0.598,3.6,7,10.6,1.2,0.7,1.3,1.1,2.6,12
7,Kadeem Allen\allenka01,SG,27,NYK,1,0,16,3,6,0.5,3,4,0.75,0,2,0,0.75,0,0,,0,0,0,2,1,0,1,1,9
8,Al-Farouq Aminu\aminual01,PF,29,ORL,18,2,21.1,1.4,4.8,0.291,0.5,2,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1,0.4,0.9,1.5,4.3
9,Kyle Anderson\anderky01,PF,26,MEM,17,0,20.5,2.8,5.5,0.505,0.2,0.9,0.25,2.5,4.5,0.558,0.527,0.9,1.6,0.571,0.9,3.5,4.4,2.6,0.7,0.7,0.9,1.7,6.7
10,Ryan Anderson\anderry01,PF,31,HOU,2,0,7,1,3.5,0.286,0.5,2.5,0.2,0.5,1,0.5,0.357,0,0,,0,3.5,3.5,1,0.5,0,0.5,0.5,2.5
11,Giannis Antetokounmpo\antetgi01,PF,25,MIL,22,22,31.7,11.5,20.3,0.565,1.6,5,0.318,9.9,15.3,0.646,0.604,6.5,11,0.591,2.6,10.6,13.2,5.5,1.4,1.4,3.9,3.2,31
12,Kostas Antetokounmpo\antetko01,PF,22,LAL,2,0,1.5,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0,0,0,0,0
13,Thanasis Antetokounmpo\antetth01,SF,27,MIL,4,0,6.3,1.5,2.5,0.6,0,0,,1.5,2.5,0.6,0.6,0.5,1,0.5,0.8,0,0.8,1,0,0,0.5,0.8,3.5
14,Carmelo Anthony\anthoca01,PF,35,POR,8,8,31,6.5,14.5,0.448,1.5,3.9,0.387,5,10.6,0.471,0.5,2.4,2.8,0.864,1,4.9,5.9,1.8,0.6,0.3,1.9,3.3,16.9
15,OG Anunoby\anunoog01,SF,22,TOR,19,19,29.6,4.3,8.1,0.532,1.6,3.6,0.456,2.7,4.5,0.593,0.633,0.7,1.3,0.52,0.9,4.6,5.5,1.7,1.2,0.9,1.2,2.5,10.9
16,Ryan Arcidiacono\arcidry01,PG,25,CHI,22,0,16.7,1.4,3.6,0.388,1,2.2,0.429,0.5,1.4,0.323,0.519,0.7,0.9,0.75,0.5,1.2,1.7,1.8,0.5,0.1,0.7,2,4.5
17,Trevor Ariza\arizatr01,SF,34,SAC,13,0,21.2,1.5,4.3,0.339,1.1,3.2,0.333,0.4,1.1,0.357,0.464,0.5,0.7,0.778,0.4,3.1,3.5,0.8,0.8,0.2,0.8,1.6,4.5
18,D.J. Augustin\augusdj01,PG,32,ORL,21,5,25.7,3.2,8.2,0.387,1,3.3,0.319,2.1,5,0.433,0.451,2.1,2.4,0.882,0.5,2,2.5,4.6,0.6,0,1.4,1.1,9.6
19,Deandre Ayton\aytonde01,C,21,PHO,1,1,33,9,14,0.643,0,0,,9,14,0.643,0.643,0,0,,3,8,11,0,1,4,0,2,18
20,Dwayne Bacon\bacondw01,SG,24,CHO,17,10,20.4,2.8,8.5,0.326,0.6,2.4,0.25,2.2,6.1,0.356,0.361,1.1,1.6,0.679,0.5,2.2,2.7,1.2,0.8,0.1,1.1,1.8,7.2
21,Marvin Bagley\baglema01,PF,20,SAC,1,1,28,6,16,0.375,0,0,,6,16,0.375,0.375,2,4,0.5,4,6,10,0,1,1,1,1,14
22,Lonzo Ball\balllo01,PG,22,NOP,13,10,27.8,4.1,10.9,0.373,2.3,6.8,0.341,1.8,4.2,0.426,0.479,0.5,0.8,0.6,0.8,3.4,4.2,5.6,1.1,0.2,2.4,1.9,10.9
23,Mo Bamba\bambamo01,C,21,ORL,19,0,15.5,2.3,5.3,0.43,0.7,1.9,0.389,1.5,3.4,0.453,0.5,0.2,0.4,0.5,1.4,3.9,5.3,0.5,0.3,1.4,1.4,2.3,5.5
